table_name,feature_id,issue_type,issue_description,checked_at
polygons,359997254,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359997338,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359997329,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1152593382,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1152593382,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1152593382,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1152593382,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,234801925,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,190031752,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,927045092,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,-5359022,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,934156124,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,934156126,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,651724114,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360329379,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360488120,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360256908,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360257106,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1060929500,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360325000,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1060929497,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360324973,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1060929499,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360324989,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360329347,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,737071534,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360329272,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360329290,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1041720760,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,352754676,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360656636,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,738897343,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,193889170,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,193889170,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,193889170,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,190031752,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,190031752,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,190031752,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,220562522,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,220562522,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,189111130,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360250956,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,220559105,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,190031747,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,189099427,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,190009134,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,189091200,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,173257911,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,173257911,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360239716,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,53350435,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,53350435,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,53350435,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,737078821,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,53350435,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,53350435,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,53350435,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,53350435,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,53350435,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360276016,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360255460,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360255532,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360276007,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360255538,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360254944,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,737078266,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,-5363410,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1139099941,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360005314,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,737078821,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,737078821,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,737078821,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,737078821,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,737078821,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,737078821,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,737078821,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,737078821,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,737078821,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,737078821,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360005404,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360005294,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,365462734,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360327463,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360005467,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360307936,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360307905,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360005402,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360005509,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360005485,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,105462521,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,105462521,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,105462521,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,105462521,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,105462521,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,105462521,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,105462521,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,105462521,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,105462521,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,105462521,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,105462521,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,105462521,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280127,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280091,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280091,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280153,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280153,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280113,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280113,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280043,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280043,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280072,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280072,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360250829,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280117,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280117,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360250813,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360250813,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280002,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280002,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280083,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280049,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280099,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280134,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280022,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360280029,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,178173716,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,178173716,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,289375524,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,106232763,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,106232763,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,106232763,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,178173716,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,178173716,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,178173716,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,106232763,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,106232763,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,106232763,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,178173716,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,178173716,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,178173716,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,106232763,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,106232763,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,106232763,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359909841,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359909865,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,216582071,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,108539261,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,696087267,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359913420,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,106232763,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,106232763,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,106232763,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1304312148,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1304312148,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,106232763,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,106232763,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,106232763,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,105462834,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,105459789,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1337619906,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
